cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
04.989.294/0001-87,36273,"Broca de baixa rotação haste longa n° 8.",112,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",30,UN,133.5,117.9,4.45,3.93
04.989.294/0001-87,36276,"Broca haste longa  LL carbide - nº2.",118,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",5,UN,75,35.8,15,7.16
04.989.294/0001-87,26255,"BROCA HASTE LONGA LL CARBIDE - Nº4",119,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",5,UNI,80,35.8,16,7.16
04.989.294/0001-87,26256,"BROCA HASTE LONGA LL CARBIDE - Nº6",120,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",5,UNI,80,35.8,16,7.16
04.989.294/0001-87,36277,"Broca haste longa carbide nº 701.",121,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",30,UN,480,214.8,16,7.16
04.989.294/0001-87,28250,"Broca haste longa carbide nº 702",122,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",35,UN,560,250.6,16,7.16
04.989.294/0001-87,36282,"Broca em carboneto de tungstênio para peça de mão - nº701",132,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",20,UN,1000,239.8,50,11.99
04.989.294/0001-87,36283,"Broca em carboneto de tungstênio para peça de mão - nº702.",133,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",20,UN,1000,239.8,50,11.99
04.989.294/0001-87,36287,"Broca em carboneto de tungstênio para peça de mão - nº703.",134,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",20,UN,1000,239.8,50,11.99
04.989.294/0001-87,31489,"Cartela para rx odontológico",140,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",20,PCT,288.8,156.2,14.44,7.81
