cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
05.850.947/0001-05,0,,82,"MARCELO GOMES & CIA LTDA",2,,33,31.8,16.5,15.9
05.850.947/0001-05,0,,83,"MARCELO GOMES & CIA LTDA",2,,33,31.8,16.5,15.9
05.850.947/0001-05,0,,84,"MARCELO GOMES & CIA LTDA",10,,165,159,16.5,15.9
05.850.947/0001-05,0,,85,"MARCELO GOMES & CIA LTDA",10,,165,159,16.5,15.9
05.850.947/0001-05,0,,86,"MARCELO GOMES & CIA LTDA",5,,82.5,79.5,16.5,15.9
05.850.947/0001-05,0,,87,"MARCELO GOMES & CIA LTDA",2,,33,31.8,16.5,15.9
05.850.947/0001-05,0,,88,"MARCELO GOMES & CIA LTDA",4,,42,41.4,10.5,10.35
05.850.947/0001-05,0,,89,"MARCELO GOMES & CIA LTDA",4,,42,41.4,10.5,10.35
05.850.947/0001-05,0,,90,"MARCELO GOMES & CIA LTDA",4,,42,41.4,10.5,10.35
05.850.947/0001-05,0,,91,"MARCELO GOMES & CIA LTDA",4,,42,41.4,10.5,10.35
05.850.947/0001-05,0,,92,"MARCELO GOMES & CIA LTDA",4,,42,41.4,10.5,10.35
05.850.947/0001-05,0,,93,"MARCELO GOMES & CIA LTDA",4,,42,41.4,10.5,10.35
05.850.947/0001-05,0,,94,"MARCELO GOMES & CIA LTDA",4,,42,41.4,10.5,10.35
05.850.947/0001-05,0,,95,"MARCELO GOMES & CIA LTDA",4,,42,41.4,10.5,10.35
05.850.947/0001-05,0,,96,"MARCELO GOMES & CIA LTDA",6,,63,62.1,10.5,10.35
05.850.947/0001-05,0,,97,"MARCELO GOMES & CIA LTDA",6,,65.7,62.1,10.95,10.35
05.850.947/0001-05,0,,98,"MARCELO GOMES & CIA LTDA",6,,65.7,62.1,10.95,10.35
05.850.947/0001-05,0,,99,"MARCELO GOMES & CIA LTDA",2,,29.6,27.9,14.8,13.95
05.850.947/0001-05,0,,100,"MARCELO GOMES & CIA LTDA",2,,29.6,27.9,14.8,13.95
05.850.947/0001-05,0,,101,"MARCELO GOMES & CIA LTDA",2,,29.6,27.9,14.8,13.95
05.850.947/0001-05,0,,102,"MARCELO GOMES & CIA LTDA",2,,29.6,27.9,14.8,13.95
05.850.947/0001-05,0,,103,"MARCELO GOMES & CIA LTDA",2,,29.6,27.9,14.8,13.95
05.850.947/0001-05,0,,104,"MARCELO GOMES & CIA LTDA",2,,29.6,27.9,14.8,13.95
05.850.947/0001-05,0,,105,"MARCELO GOMES & CIA LTDA",2,,29.6,27.9,14.8,13.95
05.850.947/0001-05,0,,106,"MARCELO GOMES & CIA LTDA",30,,357,351,11.9,11.7
05.850.947/0001-05,0,,107,"MARCELO GOMES & CIA LTDA",30,,117,110.7,3.9,3.69
05.850.947/0001-05,0,,108,"MARCELO GOMES & CIA LTDA",15,,97.5,95.7,6.5,6.38
05.850.947/0001-05,0,,109,"MARCELO GOMES & CIA LTDA",35,,595,539,17,15.4
05.850.947/0001-05,0,,110,"MARCELO GOMES & CIA LTDA",40,,780,724,19.5,18.1
05.850.947/0001-05,0,,111,"MARCELO GOMES & CIA LTDA",40,,716,700,17.9,17.5
05.850.947/0001-05,0,,112,"MARCELO GOMES & CIA LTDA",32,,800,728,25,22.75
05.850.947/0001-05,0,,113,"MARCELO GOMES & CIA LTDA",32,,624,604.8,19.5,18.9
05.850.947/0001-05,0,,114,"MARCELO GOMES & CIA LTDA",20,,27.8,27,1.39,1.35
05.850.947/0001-05,0,,115,"MARCELO GOMES & CIA LTDA",1,,60.9,59.5,60.9,59.5
05.850.947/0001-05,0,,116,"MARCELO GOMES & CIA LTDA",6,,76.8,75.9,12.8,12.65
05.850.947/0001-05,0,,117,"MARCELO GOMES & CIA LTDA",1,,46.5,45.9,46.5,45.9
05.850.947/0001-05,0,,118,"MARCELO GOMES & CIA LTDA",4,,174,172.4,43.5,43.1
05.850.947/0001-05,0,,119,"MARCELO GOMES & CIA LTDA",15,,121.5,118.5,8.1,7.9
05.850.947/0001-05,0,,120,"MARCELO GOMES & CIA LTDA",2,,110,109,55,54.5
05.850.947/0001-05,0,,121,"MARCELO GOMES & CIA LTDA",2,,110,109,55,54.5
05.850.947/0001-05,0,,122,"MARCELO GOMES & CIA LTDA",2,,150,138,75,69
05.850.947/0001-05,0,,123,"MARCELO GOMES & CIA LTDA",100,,100,95,1,0.95
05.850.947/0001-05,0,,124,"MARCELO GOMES & CIA LTDA",1,,84,83.5,84,83.5
05.850.947/0001-05,0,,125,"MARCELO GOMES & CIA LTDA",1,,847.01,839,847.01,839
